PSRJ,FREQ,FLUX,FLUX_ERR
J1903+0135,4850,0.49,0.17
J1903+0135,600,31,2.4
J1903+0135,400,58.3,7.9
J1902+0556,1400,1.9,0
J1902+0556,4850,0.23,0.04
J1902+0556,1400,2.3,0.4
J1902+0556,600,10.2,0.4
J1902+0556,400,14.9,1.9
J1902+0615,1400,1.8,0
J1902+0615,4850,0.09,0.02
J1902+0615,900,5.7,0.7
J1902+0615,600,11.6,0.8
J1902+0615,1400,2.3,1.1
J1902+0615,400,21.9,4.3
J1903-0632,1400,1.5,0
J1903-0632,600,11.3,0.7
J1903-0632,400,23,1.1
J1903-0632,100,140,90
J1905-0056,1400,0.8,0.1
J1905-0056,600,5.2,0.2
J1905-0056,400,9.8,0.6
J1905+0709,4850,0.16,0
J1905+0709,1400,1.9,0.1
J1905+0709,1600,1.2,0.3
J1905+0709,600,5.5,0.4
J1906+0641,4850,0.43,0
J1906+0641,1600,2.4,0.3
J1906+0641,1400,2.6,0.5
J1906+0641,400,6.2,1.6
J1907+4002,4850,0.12,0
J1907+4002,1400,1.4,0
J1907+4002,1400,1.8,0.3
J1907+4002,600,12.6,1.3
J1907+4002,400,22.5,2.6
J1909+0007,1400,0.8,0.1
J1909+0007,600,7.3,0.3
J1909+0007,400,12,0.7
J1909+0007,100,50,30
J1909+0254,1400,0.9,0
J1909+0254,1400,0.7,0.1
J1909+0254,600,6.1,0.2
J1909+0254,400,21.2,1.2
J1909+0254,100,110,50
J1910+0358,1400,1.8,0
J1910+0358,4850,0.35,0.04
J1910+0358,600,15.7,1.6
J1910+0358,400,20.7,6
J1910+0358,100,160,80
J1909+1102,1400,1.6,0
J1909+1102,1400,2.2,0.2
J1909+1102,600,17.5,0.9
J1909+1102,400,50.2,3
J1909+1102,100,250,120
J1910-0309,1400,1.3,0
J1910-0309,1400,0.8,0.1
J1910-0309,900,2.6,0.3
J1910-0309,600,5.8,0.3
J1910-0309,400,26.9,2.8
J1912+2104,1400,0.8,0
J1912+2104,1400,0.8,0.1
J1912+2104,600,3.3,0.3
J1912+2104,400,5.7,1.1
J1914+1122,400,1.6,0
J1914+1122,600,0.9,0.2
J1913+1400,1400,0.7,0
J1913+1400,4850,0.15,0.02
J1913+1400,1400,1.2,0.1
J1913+1400,600,4.3,0.3
J1913+1400,400,5.2,0.7
J1913+1400,100,55,25
J1913-0440,4850,0.38,0
J1913-0440,1400,4.4,0.5
J1913-0440,600,44.1,2.9
J1913-0440,400,117,8
J1913-0440,100,170,50
J1915+1009,4850,0.15,0
J1915+1009,1400,2.5,0
J1915+1009,1400,2,0.5
J1915+1009,1600,2.2,0.6
J1915+1009,900,4.2,1
J1915+1009,600,9.8,1
J1915+1009,400,23.1,2.1
J1915+1009,100,220,50
J1915+1606,1400,0.7,0.1
J1915+1606,400,4.2,1.1
J1915+1647,600,2.5,0.4
J1915+1647,400,4.5,0.8
J1916+0951,4850,0.09,0
J1916+0951,1400,1,0.1
J1916+0951,600,5.6,0.3
J1916+0951,400,19.9,2.2
J1916+0951,100,230,85
J1916+1312,1400,1.8,0
J1916+1312,4850,0.2,0.06
J1916+1312,1400,1.9,0.3
J1916+1312,600,8.4,0.5
J1916+1312,400,12.4,1.1
J1916+1312,100,530,390
J1917+1353,1400,6.5,0
J1917+1353,4850,0.33,0.24
J1917+1353,1400,3.9,0.5
J1917+1353,1600,2.4,0.7
J1917+1353,900,12.8,1.2
J1917+1353,600,22.6,1.8
J1917+1353,400,42.8,2.9
J1917+1353,100,140,100
J1918+1444,4850,0.12,0
J1918+1444,1400,0.74,0
J1918+1444,400,2.2,0
J1918+1444,600,1.6,0.2
J1918+1444,1400,1.4,0.5
J1918+1444,900,1.5,0.7
J1919+0021,1400,0.9,0
J1919+0021,4850,0.06,0.01
J1919+0021,1400,0.8,0.2
J1919+0021,600,6.7,0.5
J1919+0021,400,15.6,1.3
J1921+1948,1400,1.5,0
J1921+1948,1400,1.7,0.3
J1921+1948,600,13.1,0.9
J1921+1948,400,34.4,3.5
J1920+2650,1700,0.62,0
J1920+2650,1400,1.1,0
J1920+2650,600,2.3,0
J1920+2650,400,6.1,1.1
J1920+2650,100,30,11
J1921+1419,1400,1.3,0
J1921+1419,400,5.2,0
J1921+1419,4850,0.19,0.04
J1921+1419,1400,1,0.1
J1921+1419,600,3.2,0.7
J1921+1419,100,210,110
J1921+2153,1400,3.2,0
J1921+2153,4850,0.14,0.01
J1921+2153,2700,0.15,0.07
J1921+2153,900,12.8,0.4
J1921+2153,1400,5.3,2.5
J1921+2153,400,56.5,8.2
J1921+2153,600,72.7,21.6
J1921+2153,40,250,80
J1921+2153,60,2100,430
J1921+2153,100,1900,600
J1922+2018,600,1.4,0.3
J1922+2018,400,3.8,0.7
J1922+2110,1400,1.3,0
J1922+2110,4850,0.15,0.03
J1922+2110,1400,1.4,0.2
J1922+2110,600,13.6,1.1
J1922+2110,400,29.9,1.2
J1926+0431,4850,0.11,0
J1926+0431,600,7.3,1.3
J1926+0431,400,21.9,2.2
J1926+0431,100,50,30
J1926+1648,4850,0.37,0
J1926+1648,1400,1.3,0.2
J1926+1648,600,3.7,0.6
J1926+1648,400,8.2,1
J1926+1648,100,140,90
J1932+1059,14800,1.68,0
J1932+1059,1700,87.12,0
J1932+1059,32000,0.21,0.01
J1932+1059,33900,0.3,0.02
J1932+1059,22700,0.22,0.04
J1932+1059,43000,0.18,0.05
J1932+1059,23050,0.33,0.08
J1932+1059,14600,1.1,0.1
J1932+1059,24000,0.25,0.18
J1932+1059,8500,3.35,0.18
J1932+1059,10550,1.72,0.33
J1932+1059,2700,15,2
J1932+1059,4850,10.59,3.21
J1932+1059,1400,41.1,5.7
J1932+1059,2300,17.22,6.78
J1932+1059,1400,37.17,37
J1932+1059,600,187,42
J1932+1059,400,303,75
J1932+1059,100,950,600
J1932+2020,1400,0.9,0
J1932+2020,1400,1.2,0.4
J1932+2020,600,10.8,1.2
J1932+2020,400,28.5,2.2
J1932+2220,1400,1,0
J1932+2220,1400,1.2,0.1
J1932+2220,1600,1.6,0.3
J1932+2220,600,5.3,0.5
J1932+2220,900,2.8,0.6
J1932+2220,400,7.8,0.8
J1932+2220,100,90,20
J1933+2421,600,1.7,0
J1933+2421,400,8.7,0
J1935+1616,1400,60.7,0
J1935+1616,4850,4.12,0.18
J1935+1616,2700,9.85,0.6
J1935+1616,1400,41.8,5.6
J1935+1616,600,161,12
J1935+1616,400,242,22
J1937+2544,4850,0.46,0
J1937+2544,1700,2.24,0
J1937+2544,1400,2.88,0
J1937+2544,400,6.6,0.4
J1937+2544,1400,2.3,0.6
J1937+2544,600,6.6,1
J1941-2602,4850,0.12,0
J1941-2602,400,12.6,1
J1941-2602,1400,2.7,1.3
J1941-2602,600,10.4,1.7
J1943-1237,1400,0.9,0
J1943-1237,1400,0.7,0.2
J1943-1237,600,4.5,0.6
J1943-1237,400,12.9,0.6
J1944-1750,1400,0.4,0
J1944-1750,600,3,0.3
J1944-1750,400,7.5,0.5
J1945-0040,1400,1.1,0
J1945-0040,1400,0.8,0.1
J1945-0040,600,4.7,0.6
J1945-0040,400,5.5,1.3
J1945-0040,100,90,50
J1946-2913,1400,0.8,0.3
J1946-2913,600,4.1,0.5
J1946-2913,400,9.3,0.8
J1946+1805,4850,1.41,0.42
J1946+1805,600,31.3,3.9
J1946+1805,1400,10,4
J1946+1805,400,39.5,5.2
J1946+1805,1400,22.18,17.08
J1946+1805,100,150,90
J1948+3540,1400,8.2,0
J1948+3540,4850,0.51,0.05
J1948+3540,1400,8.3,0.9
J1948+3540,900,27.8,1
J1948+3540,600,78.9,1.6
J1948+3540,400,144,8
J1948+3540,100,60,40
J1949-2524,1400,0.4,0.1
J1949-2524,600,2.6,0.5
J1949-2524,400,5.2,0.6
J1952+3252,1400,0.8,0
J1952+3252,1400,1,0.1
J1952+3252,1600,1.4,0.3
J1952+3252,600,5.1,0.5
J1952+3252,900,3.8,0.9
J1952+3252,400,7.3,1
J1954+2923,2700,2.38,0
J1954+2923,400,9,0
J1954+2923,10700,0.02,0.003
J1954+2923,4850,0.24,0.11
J1954+2923,1400,5.3,0.8
J1954+2923,900,5.2,1.4
J1954+2923,600,6.6,2
J1954+2923,1400,7.79,4.97
J1955+5059,1400,11.1,0
J1955+5059,4850,0.51,0.1
J1955+5059,600,14.3,1.1
J1955+5059,1400,4.4,1.4
J1955+5059,400,26.4,2.9
J1955+5059,100,170,50
J2002+3217,1700,0.85,0
J2002+3217,1400,0.93,0
J2002+3217,4850,0.42,0.04
J2002+3217,1400,1.2,0.1
J2002+3217,1600,1.2,0.1
J2002+3217,600,3.9,0.1
J2002+3217,900,2.2,0.4
J2002+3217,400,5.5,0.5
J2002+3217,100,80,30
J2002+4050,1400,5.5,0
J2002+4050,4850,0.13,0.01
J2002+4050,1600,3.8,0.2
J2002+4050,1400,4.9,0.2
J2002+4050,600,22.9,0.7
J2002+4050,900,11.3,1
J2002+4050,400,53,6.6
J2002+4050,100,170,80
J2004+3137,1400,1.8,0.1
J2004+3137,900,7.1,0.4
J2004+3137,600,11.6,0.7
J2004+3137,1400,1.5,0.84
J2004+3137,400,14.5,0.9
J2006-0807,1400,2.8,0.7
J2006-0807,900,7.1,1.1
J2006-0807,600,7.4,1.5
J2006-0807,400,19.6,2.8
J2013+3845,1400,7.5,0
J2013+3845,4850,0.66,0.07
J2013+3845,1600,6.3,0.3
J2013+3845,1400,6.4,0.5
J2013+3845,600,18.7,0.9
J2013+3845,900,11.1,1.1
J2013+3845,400,25.5,1.4
J2013+3845,100,95,40
J2018+2839,2300,1.57,0
J2018+2839,1400,44.3,0
J2018+2839,2700,4.5,0.05
J2018+2839,8500,0.3,0.13
J2018+2839,10550,0.17,0.14
J2018+2839,4850,1.1,0.33
J2018+2839,600,100,12
J2018+2839,1400,30.1,13.2
J2018+2839,400,313,29
J2018+2839,100,260,100
J2022+2854,32000,0.09,0.02
J2022+2854,10550,0.91,0.15
J2022+2854,14800,0.35,0.17
J2022+2854,8500,1.4,0.3
J2022+2854,4850,2.5,0.85
J2022+2854,400,71,6.9
J2022+2854,600,59.9,9.9
J2022+2854,2300,16.44,10.59
J2022+2854,1400,15.19,13.42
J2022+2854,60,30,20
J2022+2854,90,40,20
J2022+2854,100,340,140
J2022+5154,24000,0.4,0
J2022+5154,14800,1.38,0
J2022+5154,32000,0.32,0.01
J2022+5154,43000,0.25,0.03
J2022+5154,29300,0.14,0.04
J2022+5154,34800,0.35,0.05
J2022+5154,22700,0.42,0.08
J2022+5154,23050,0.45,0.09
J2022+5154,33900,0.5,0.1
J2022+5154,14600,1.3,0.1
J2022+5154,10550,1.83,0.48
J2022+5154,8500,2.57,1.49
J2022+5154,2700,15.1,1.5
J2022+5154,4850,9,5.1
J2022+5154,1700,23.2,7
J2022+5154,1400,27.2,9.1
J2022+5154,400,76.5,12.4
J2022+5154,600,95.9,22.9
J2022+5154,100,60,25
J2022+5154,1400,69.6,71.9
J2023+5037,1400,1.1,0
J2023+5037,1700,1.63,0
J2023+5037,4850,0.75,0.07
J2023+5037,600,4,0.3
J2023+5037,1400,2.2,0.5
J2023+5037,1600,2.3,0.5
J2023+5037,400,6.5,0.7
J2023+5037,100,30,20
J2029+3744,1400,0.65,0.06
J2029+3744,1400,0.6,0.1
J2029+3744,600,4.8,0.2
J2029+3744,400,18.2,2.4
J2037+3621,1700,0.3,0
J2037+3621,1400,1.6,0
J2037+3621,1400,0.8,0.4
J2037+3621,600,3.1,0.7
J2037+3621,400,6,1
J2037+3621,100,34,10
J2038+5319,1400,0.3,0.1
J2038+5319,600,1.1,0.2
J2038+5319,400,3.1,0.4
J2046-0421,1400,1.7,0.5
J2046-0421,600,8.6,0.5
J2046-0421,400,19.5,1.3
J2046-0421,100,20,10
J2046+1540,4850,0.16,0
J2046+1540,1400,1.7,0.3
J2046+1540,600,4.6,0.3
J2046+1540,400,11.5,0.9
J2046+1540,100,40,20
J2046+5708,1400,0.4,0
J2046+5708,400,7.9,0
J2046+5708,1400,0.3,0.1
J2046+5708,600,1.3,0.3
J2046+5708,100,34,11
J2048-1616,10550,0.15,0
J2048-1616,8500,0.25,0.03
J2048-1616,4850,0.93,0.25
J2048-1616,2700,3.6,0.4
J2048-1616,2300,4.99,1.55
J2048-1616,1400,12.9,4
J2048-1616,1400,11.43,6.05
J2048-1616,1600,18.4,8.5
J2048-1616,600,102,21
J2048-1616,400,115,26
J2048-1616,100,90,50
J2055+2209,4850,0.43,0
J2055+2209,600,6.2,0.5
J2055+2209,400,8.7,1
J2055+3630,4850,0.29,0
J2055+3630,1400,2.8,0
J2055+3630,1400,2.6,0.1
J2055+3630,600,14.4,0.4
J2055+3630,400,27.6,1
J2055+3630,100,80,20
J2108+4441,1400,3.4,0
J2108+4441,4850,0.76,0.15
J2108+4441,1400,5.4,0.4
J2108+4441,600,19.4,0.7
J2108+4441,400,25.9,1.8
J2113+2754,4850,0.08,0
J2113+2754,1400,2.8,0
J2113+2754,1400,1.1,0.2
J2113+2754,600,8,1
J2113+2754,400,17.9,2.5
J2113+2754,100,130,30
J2113+4644,10550,0.16,0.05
J2113+4644,2700,3.9,0.4
J2113+4644,4850,1.66,0.91
J2113+4644,1400,19.3,1.4
J2113+4644,1600,14.5,1.6
J2113+4644,900,44.3,2.7
J2113+4644,1400,28.03,4.5
J2113+4644,600,112,10
J2113+4644,400,229,11
J2113+4644,100,430,110
J2116+1414,1400,0.7,0
J2116+1414,1400,0.8,0.1
J2116+1414,600,3.4,0.2
J2116+1414,400,9.3,1
J2150+5247,4850,0.36,0
J2150+5247,1700,1.81,0
J2150+5247,1600,2.4,0.1
J2150+5247,1400,2,0.3
J2150+5247,600,6.6,0.5
J2150+5247,400,15.6,0.8
J2150+5247,100,40,24
J2149+6329,4850,0.23,0
J2149+6329,1400,2.4,0
J2149+6329,2700,0.8,0.3
J2149+6329,1400,2.9,0.4
J2149+6329,600,18.4,0.7
J2149+6329,400,31.5,1.5
J2149+6329,100,20,8
J2155-3118,1400,0.5,0.3
J2155-3118,600,5.4,0.8
J2155-3118,400,12,2
J2157+4017,2700,3.37,0
J2157+4017,1400,17.5,0
J2157+4017,4850,0.79,0.35
J2157+4017,1400,16.9,1.8
J2157+4017,600,54.7,3.1
J2157+4017,400,104,6
J2157+4017,100,200,70
J2212+2933,1400,0.5,0
J2212+2933,1400,0.9,0.2
J2212+2933,600,4.2,0.4
J2212+2933,400,6.3,0.8
J2212+2933,100,50,20
J2219+4754,1400,5.4,0
J2219+4754,4900,0.2,0.1
J2219+4754,600,35.6,2.6
J2219+4754,400,110,12
J2219+4754,40,870,190
J2219+4754,100,1200,400
J2219+4754,60,1670,670
J2225+6535,1400,2.1,0
J2225+6535,4600,0.09,0.05
J2225+6535,1600,1.9,0.3
J2225+6535,1400,2,0.4
J2225+6535,600,11.2,0.8
J2225+6535,900,5,1
J2225+6535,400,21.9,2.4
J2229+6205,1400,1,0
J2229+6205,1400,0.8,0.1
J2229+6205,600,5.3,0.2
J2229+6205,400,17,0.8
J2229+6205,100,60,10
J2242+6950,1400,0.1,0
J2242+6950,1400,0.4,0.2
J2242+6950,600,1.6,0.3
J2242+6950,400,2.4,0.7
J2242+6950,100,30,20
J2257+5909,1400,3.3,0
J2257+5909,4850,0.38,0.08
J2257+5909,2700,0.5,0.3
J2257+5909,600,36,0.8
J2257+5909,1400,9.2,0.9
J2257+5909,400,33.8,1.5
J2257+5909,100,20,10
J2305+3100,4850,0.38,0
J2305+3100,1400,1.3,0
J2305+3100,900,2.5,0.4
J2305+3100,1400,2.2,0.5
J2305+3100,600,8.3,1
J2305+3100,400,24.3,2.2
J2305+3100,100,110,60
J2305+4707,1600,0.2,0
J2305+4707,400,1.9,0.4
J2305+4707,600,2.2,0.4
J2308+5547,1400,1.3,0
J2308+5547,4850,0.15,0.02
J2308+5547,1400,1.9,0.3
J2308+5547,600,10.3,1
J2308+5547,400,18.9,1.6
J2313+4253,2300,1.44,0
J2313+4253,1400,12.4,0
J2313+4253,1600,21.7,0
J2313+4253,8500,0.19,0.02
J2313+4253,10550,0.27,0.04
J2313+4253,4850,0.31,0.21
J2313+4253,600,46,2.8
J2313+4253,1400,14.6,4.1
J2313+4253,400,88.6,8.7
J2313+4253,100,110,90
J2317+2149,4850,0.05,0
J2317+2149,1400,2.9,0
J2317+2149,1400,0.9,0.5
J2317+2149,600,6.6,0.9
J2317+2149,400,14.6,3.3
J2317+2149,100,100,30
J2321+6024,10550,0.19,0
J2321+6024,2700,5,0
J2321+6024,8500,0.43,0.01
J2321+6024,4850,1.77,0.48
J2321+6024,2300,3.71,0.76
J2321+6024,1400,12.4,1.3
J2321+6024,1600,15.7,1.4
J2321+6024,600,49.5,4.2
J2321+6024,400,36.1,4.9
J2321+6024,1400,21.46,5.51
J2321+6024,100,70,20
J2325+6316,1400,1.5,0
J2325+6316,1400,2.1,0.5
J2325+6316,900,5.3,0.5
J2325+6316,600,6.2,0.9
J2325+6316,400,8.1,1.9
J2325+6316,100,120,20
J2326+6113,1400,9.3,0
J2326+6113,4850,0.19,0.05
J2326+6113,900,6.1,0.7
J2326+6113,1400,4.4,0.9
J2326+6113,400,16.7,1
J2326+6113,600,11.8,2.2
J2326+6113,100,120,40
J2330-2005,4850,0.11,0
J2330-2005,1400,5.2,0
J2330-2005,1400,3.2,1
J2330-2005,600,19,4.2
J2330-2005,400,41.7,8.2
J2330-2005,90,610,430
J2337+6151,4850,0.29,0
J2337+6151,1400,0.7,0
J2337+6151,1400,1.4,0.3
J2337+6151,900,2.4,0.6
J2337+6151,600,6.1,0.9
J2337+6151,400,10.3,2.2
J2337+6151,100,75,30
J2354+6155,10550,0.25,0
J2354+6155,4850,0.26,0
J2354+6155,2300,1.49,0.56
J2354+6155,8500,1.48,0.87
J2354+6155,1400,4.6,1
J2354+6155,600,12,1
J2354+6155,1400,5.68,2.38
J2354+6155,400,17.3,2.9
J2354+6155,100,30,10
J0538+2817,1400,3.1,0
J0538+2817,4850,0.89,0.58
J0538+2817,1400,3.79,1.08
