PSRJ,PTA_SRC,REF_SH,GL,GB,P0,P1,DM,DM_ERR,DMEPOCH,RM,RM_ERR,RM_SNG,L_FRAC,L_FRAC_ERR,V_FRAC,V_FRAC_ERR,ABS_V_FRAC,ABS_V_FRAC_ERR,TOA_ERR_NEW,SPIND,SPIND_ERR,NOBS,S1400,S1400_ERR,FLUX_0_VAL,FLUX_1_VAL,FLUX_2_VAL,FLUX_3_VAL,FLUX_4_VAL,FLUX_5_VAL,FLUX_6_VAL,FLUX_7_VAL,FLUX_0_ERR,FLUX_1_ERR,FLUX_2_ERR,FLUX_3_ERR,FLUX_4_ERR,FLUX_5_ERR,FLUX_6_ERR,FLUX_7_ERR,FLUX_0_FRQ,FLUX_1_FRQ,FLUX_2_FRQ,FLUX_3_FRQ,FLUX_4_FRQ,FLUX_5_FRQ,FLUX_6_FRQ,FLUX_7_FRQ
J1708-3506,True,kjvs+10,350.47,3.1239999999999997,0.004505158948526,1.1226e-20,146.7636,0.0014,59088.804052,-10.558224197214171,0.17714088422495808,False,0.15441009939989608,0.02001115524489885,0.020134372328925527,0.02103238673877516,0.02549852834315861,0.02103238673877516,1.7777890157583247,-2.23,0.05,25,1.445,0.015,3.4,2.79,2.32,1.96,1.62,1.39,1.19,0.98,0.09,0.07,0.06,0.04,0.03,0.03,0.03,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1709+2313,False,fcwa95,44.522,32.209,0.0046311962778409,3.6200000000000004e-21,25.3399,0.0014,59082.71729400001,36.645553079682415,1.5933750365811563,True,0.27209238706870226,0.021317804921638792,0.06625367123815755,0.06382277758806172,0.017926687110304203,0.06382277758806172,6.050406381629668,-3.1,0.6,6,0.19,0.02,0.6,0.7,0.27,0.3,0.2,0.14,0.12,0.15,0.2,0.2,0.08,0.2,0.09,0.03,0.04,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1713+0747,True,fwc93,28.750999999999998,25.223000000000003,0.004570136598623234,8.529700000000001e-21,15.9904,0.0005,58782.485452999994,10.881726738355471,0.09760928050079756,False,0.3156037383995109,0.02000085352609233,-0.015958590833397526,0.020150991856172144,0.03425049005603243,0.020150991856172144,0.042405978615137965,-1.0,0.3,35,8.3,0.5,12.1,10.0,13.0,12.0,7.9,9.0,7.7,6.7,1.2,2.0,3.0,2.0,0.9,2.0,1.1,1.3,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1719-1438,True,bbb+11a,8.859,12.838,0.005790151770040999,7.966e-21,36.7752,0.0005,58952.268692,17.27162007607116,0.19054728352268624,False,0.2460479327853634,0.020048636998947336,0.04166378255825806,0.02352435886604317,0.0397576561194453,0.02352435886604317,1.4679790320952872,-2.5,0.2,41,0.43,0.02,1.09,0.92,0.8,0.59,0.46,0.4,0.34,0.3,0.08,0.08,0.08,0.06,0.04,0.04,0.04,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1721-2457,True,eb01b,0.387,6.751,0.003496633728452,5.610000000000001e-21,48.2341,0.0006,59246.428925,-37.65869415593485,0.3623773050426864,False,0.18618678641611447,0.020035384588769745,0.0859377406455373,0.022751808085035755,0.07213603112770428,0.022751808085035755,2.6022054272715414,-1.93,0.15,12,1.03,0.04,2.08,1.87,1.57,1.37,1.24,1.04,0.84,0.68,0.1,0.1,0.09,0.1,0.11,0.14,0.1,0.06,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1727-2946,False,fsk+04,357.13699999999994,2.9210000000000003,0.027083183273590997,2.4607e-19,60.7336,0.0014,58983.959652,-90.35272802554407,0.8686477506075571,False,0.24311436558896204,0.02039634508945733,0.025596662568108358,0.05040960704179807,0.0905756459353321,0.05040960704179807,4.291851636575031,-2.4,0.2,8,0.265,0.011,0.7,0.52,0.44,0.35,0.32,0.28,0.21,0.17,0.05,0.04,0.03,0.03,0.04,0.03,0.02,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1730-2304,True,lnl+95,3.137,6.023,0.008122798048058037,2.018423e-20,9.6257,0.0005,59167.519836,-3.7243960190121577,0.09222749349926553,False,0.27752204654779394,0.02000549582933784,-0.1989830720900226,0.031086162811579183,0.2044672860264466,0.031086162811579183,0.4094523589944874,-2.0,0.2,39,3.5,0.2,7.2,6.5,5.5,5.1,4.1,3.7,3.0,1.8,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1731-1847,True,kjvs+10,6.89,8.151,0.0023445595468869,2.5396e-20,106.4721,0.0007,59057.862312,21.488207195142326,0.3842084596674049,False,0.5170403135557561,0.0204063754692162,-0.16919637931456086,0.04232892090361453,0.14028658929361346,0.04232892090361453,0.3790038040742559,-2.4,0.2,6,0.38,0.015,0.96,0.76,0.65,0.5,0.41,0.37,0.31,0.26,0.07,0.05,0.04,0.05,0.03,0.03,0.03,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1732-5049,True,eb01b,340.029,-9.454,0.005312550290423001,1.4216e-20,56.8209,0.0004,59237.244739,-8.15867751709655,0.3145246479048457,False,0.25138491744137537,0.020021735113779724,0.0026738166461167524,0.021672778378381302,0.010904327178355648,0.021672778378381302,0.6877621417258186,-1.9,0.2,53,2.11,0.11,4.4,3.6,3.1,2.8,2.4,2.0,1.8,1.5,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1737-0811,True,blr+13,16.932000000000002,12.318,0.0041750173128158,7.912e-21,55.306,0.0011,58672.93471,64.85927046195275,0.14774371381929244,False,0.2564306459713514,0.020022815428571462,0.0009935478532245572,0.021245177367289137,0.024219822359674285,0.021245177367289137,1.8767062354065127,-2.19,0.07,44,1.07,0.02,2.48,2.03,1.75,1.46,1.22,1.03,0.88,0.75,0.09,0.07,0.06,0.05,0.05,0.04,0.03,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1738+0333,False,jac05,27.721,17.742,0.005850095859775686,2.4119919999999997e-20,33.771,0.003,59057.880589,34.71414372724484,0.4733202872321826,False,0.22024314309498594,0.02033337822112953,-0.020736251276432485,0.03528174901989484,0.013131025589122413,0.03528174901989484,1.3034641418607542,-4.1,0.5,6,0.34,0.04,1.5,1.2,0.8,0.9,0.7,0.25,0.28,0.17,0.3,0.3,0.3,0.3,0.2,0.04,0.09,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1741+1351,False,jbo+07,37.885,21.641,0.0037471545002599397,3.021648e-20,24.1962,0.0003,59057.899204999994,63.52869206234643,0.7334591393665854,False,0.17734597243747688,0.02043090365144904,0.019772912480872158,0.04314223266570934,0.00665942428584593,0.04314223266570934,0.7996411597457938,-0.8,0.5,6,0.29,0.04,0.7,0.33,0.43,0.19,0.25,0.4,0.4,0.3,0.2,0.05,0.11,0.04,0.12,0.3,0.2,0.07,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1744-1134,True,bjb+97,14.794,9.18,0.004074545942316082,8.93428e-21,3.13849,0.00011999999999999999,59218.32377,1.6186860665650962,0.08657853717586597,False,0.8988097600761419,0.020015740198471296,0.002406380984268582,0.021234548451355955,0.0012100160332351305,0.021234548451355955,0.12692452513892236,-1.7,0.4,39,2.6,0.2,5.3,5.0,3.6,2.9,2.9,2.6,2.4,2.0,1.0,1.0,0.6,0.5,0.5,0.5,0.5,0.3,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1745+1017,False,bgc+13,34.869,19.254,0.0026521296710897,2.729e-21,23.9711,0.0003,59000.830438,27.24172709214605,0.2935255788115693,False,0.5003862718762575,0.02031798993998764,-0.1026947299542246,0.03525365019484801,0.08608285365244622,0.03525365019484801,0.906273041046394,-2.5,0.4,6,0.51,0.04,1.1,1.2,1.0,0.87,0.8,0.37,0.66,0.39,0.2,0.3,0.2,0.14,0.3,0.04,0.13,0.1,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1745-0952,False,eb01b,16.371,9.895,0.0193763034411294,9.246e-20,64.501,0.004,59227.208266999995,52.36253886208724,1.3264197489545568,False,0.1926960709460777,0.02019451273949224,-0.1508892242736099,0.03231431205581824,0.12457571848735095,0.03231431205581824,6.337472683775138,-1.3,0.2,6,0.92,0.05,1.6,1.3,1.2,1.08,0.97,0.9,0.85,0.8,0.1,0.07,0.11,0.08,0.09,0.2,0.13,0.2,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1747-4036,True,kcj+12,350.208,-6.412000000000001,0.0016456096131773,1.31521e-20,152.9407,0.0008,58881.275628999996,-43.75355436452667,0.2344208497972296,False,0.15800571948221204,0.020018441805395675,-0.00413399406596389,0.022084463203209868,0.019981744603221854,0.022084463203209868,0.5540391760541189,-2.84,0.04,40,1.506,0.013,4.43,3.47,2.79,2.25,1.76,1.43,1.16,0.9,0.09,0.06,0.05,0.04,0.03,0.02,0.03,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1750-2536,False,kek+13,3.4139999999999997,0.779,0.03474957194392501,8.14e-20,179.395,0.009,59168.59824400001,173.2692836552996,5.2261056543472195,True,0.1448209696625746,0.021263192251087127,-0.14305941814830336,0.0928250205381037,0.1132890154130193,0.0928250205381037,39.286856715855436,-3.7,0.2,9,0.107,0.005,0.44,0.32,0.24100000000000002,0.17300000000000001,0.126,0.10099999999999999,0.07200000000000001,0.055999999999999994,0.02,0.02,0.012,0.013999999999999999,0.011000000000000001,0.009000000000000001,0.01,0.009000000000000001,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1751-2857,True,sfl+05,0.6459999999999999,-1.124,0.003914873259445,1.1191e-20,42.789,0.0005,58992.113762,33.203398294311945,0.13204675897983384,False,0.40851783494407706,0.02014788172521701,-0.01791132920215555,0.04146558734562439,0.007825049813118467,0.04146558734562439,1.2101776134432558,-1.27,0.08,38,0.461,0.009,0.74,0.68,0.62,0.55,0.5,0.47,0.41,0.35,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1754+0032,False,mbc+19,26.828000000000003,12.888,0.004411,1.9799999999999998e-20,70.2804,0.0007,59000.81245800001,40.01280466162532,0.7986591703413728,False,0.17009346019653818,0.02013749797521408,0.011324823086935968,0.028232103193194,0.021718276542946544,0.028232103193194,1.3569875282386763,-1.8,0.2,6,0.61,0.03,1.24,1.01,0.91,0.81,0.73,0.61,0.42,0.43,0.09,0.07,0.11,0.08,0.11,0.05,0.07,0.06,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1755-3716,False,nbb+14,353.88199999999995,-6.041,0.01278606928999,3.1e-20,167.56599999999997,0.005,59083.679471,52.04124740762576,3.677730543756569,False,0.12115902491106627,0.02067736617778921,-0.09482574188354026,0.05190855648137789,0.04760493000356908,0.05190855648137789,12.11147442608085,-1.37,0.09,5,0.524,0.01,0.87,0.77,0.72,0.67,0.59,0.51,0.43,0.37,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1756-2251,True,fsk+04,6.497000000000001,0.9470000000000001,0.02846158918736,1.0170700000000002e-18,121.2312,0.0003,58980.835086,-10.780548869142015,0.13645000485585912,False,0.17387259247817452,0.020001994639338744,-0.01903760292780784,0.020416036784648102,0.02811272449464448,0.020416036784648102,1.2801480614524428,-1.14,0.06,49,1.087,0.013,1.63,1.52,1.41,1.31,1.19,1.07,0.96,0.85,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1757-1854,False,cck+18,9.966000000000001,2.877,0.0214972318900437,2.6269000000000003e-18,378.111,0.013000000000000001,59122.624082,702.6010844222052,0.7642447333295135,False,0.19431845451828766,0.02014068316038744,0.09007374092258846,0.03048198631862815,0.06844920839366221,0.03048198631862815,15.279457281190181,-1.4,0.05,10,0.142,0.002,0.231,0.218,0.20199999999999999,0.177,0.152,0.136,0.12300000000000001,0.105,0.005,0.005,0.004,0.011000000000000001,0.005,0.003,0.003,0.005,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1757-5322,True,eb01,339.63699999999994,-13.98,0.008869961231245,2.6468999999999998e-20,30.8047,0.0004,59058.714498,70.14796778299953,0.09731155862703464,False,0.2122280246763919,0.02000232832854253,-0.16550338382427027,0.020901006752415786,0.16699897255636248,0.020901006752415786,0.8529242390132007,-1.53,0.12,58,1.76,0.05,3.21,2.82,2.37,2.22,1.9,1.72,1.49,1.5,0.14,0.14,0.12,0.14,0.12,0.09,0.12,0.2,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1801-1417,True,fsk+04,14.546,4.162,0.0036250967171674,5.305e-21,57.2516,0.0002,58853.231428,232.54611479342014,0.1243473842859484,False,0.17848536138821908,0.02003004708911378,0.02592088862049055,0.02269740662416184,0.044850349031459714,0.02269740662416184,0.7800000710739743,-1.8,0.13,37,1.54,0.04,3.0,2.6,2.3,1.98,1.68,1.54,1.32,1.12,0.2,0.2,0.2,0.12,0.12,0.11,0.08,0.07,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1801-3210,False,kjvs+10,358.92199999999997,-4.577,0.007453584373461,2.8999999999999996e-23,177.729,0.002,59083.691553,224.97944237311341,1.895080682832379,True,0.19096198837397066,0.02046925164148902,0.045880739574971525,0.04774546677115162,0.040955946414181,0.04774546677115162,6.52970978589968,-2.47,0.07,6,0.451,0.008,1.1,0.95,0.81,0.69,0.58,0.45,0.365,0.27,0.05,0.02,0.05,0.07,0.05,0.02,0.01,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1802-2124,True,fsk+04,8.382,0.611,0.012647593804378,7.2979e-20,149.5902,0.0004,58986.863193,290.2024978294019,0.5648353372446093,False,0.1717864852867991,0.02003377402013117,0.02786214200092038,0.02421019204731012,0.028062511058749028,0.02421019204731012,0.4407658373057298,-2.38,0.05,37,0.734,0.008,1.84,1.49,1.21,1.0,0.83,0.7,0.6,0.49,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1804-2717,True,llb+96,3.505,-2.736,0.009343030844543002,4.085e-20,24.6746,0.0005,59216.518189999995,39.96609485894294,0.2468023632007625,False,0.4904333975015766,0.020095754000598282,0.15377075206760266,0.029342347007481482,0.15277921618301338,0.029342347007481482,1.7877269515407812,-1.7,0.6,6,1.4,0.2,4.0,2.3,1.7,2.7,1.9,1.4,1.4,1.7,0.9,0.3,0.2,1.1,0.6,0.4,0.5,0.9,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1804-2858,True,mbc+19,1.995,-3.498,0.001492685261031,-7.999999999999999e-22,232.528,0.002,59181.651761,-421.2958878985012,3.0314483747646093,False,0.06872298599806068,0.020164316857220563,-0.0800584820898536,0.033076081733131264,0.04888796749108445,0.033076081733131264,1.6274980128631922,-1.26,0.07,11,0.918,0.011,1.27,1.3,1.35,1.21,1.02,0.9,0.8,0.67,0.05,0.05,0.05,0.03,0.03,0.03,0.02,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1806+2819,False,kmlk+18,54.645,21.666999999999998,0.01508366732422,3.75e-20,18.78,0.02,59098.648872000005,,,True,0.006350307363083197,0.024209216008559062,0.022072885590260747,0.1040135597330654,0.0113545271915237,0.1040135597330654,35.082251991328754,-2.0,0.6,6,0.09,0.011,0.22,0.17,0.12,0.15,0.07,0.08,0.1,0.06,0.06,0.04,0.03,0.08,0.02,0.03,0.02,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1810-2005,False,clm+01,10.545,-0.562,0.0328222443257,1.47e-19,240.72,0.04,58855.3029,-15.663017903887944,0.8430569411209555,False,0.09059952980621372,0.020104137166088776,0.049704967145433064,0.028669760149263507,0.022472141293468417,0.028669760149263507,29.713861951191802,-2.0,0.2,6,1.73,0.04,2.9,3.0,2.7,2.4,2.0,1.8,1.45,1.18,0.5,0.5,0.3,0.2,0.2,0.2,0.03,0.09,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1811-2405,True,kjvs+10,7.0729999999999995,-2.559,0.0026605933185567,1.33824e-20,60.619969999999995,5.9999999999999995e-05,58750.494473,30.24533987219133,0.15048378473594695,False,0.26598263407179185,0.020009032400772227,-0.04961289262833623,0.02117198814747333,0.0520636273931119,0.02117198814747333,0.27940526345333605,-1.82,0.06,53,1.33,0.02,2.7,2.27,1.96,1.71,1.48,1.28,1.14,0.99,0.08,0.06,0.05,0.05,0.04,0.04,0.04,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1813-2621,False,fsk+04,5.322,-4.112,0.0044300116286342,1.2465999999999999e-20,122.4924,0.001,58683.970327999996,142.2416220980013,0.33251503224164963,False,0.3199666695331496,0.02018271672476828,0.17252351090683266,0.033497690199618985,0.14526874332876352,0.033497690199618985,2.9845412389738413,-1.79,0.09,6,0.584,0.008,1.16,1.0,0.85,0.73,0.65,0.56,0.5,0.44,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1821+0155,False,rsm+13,31.244,7.504,0.033781331408612,2.9e-20,51.766,0.0004,59059.894527,110.3305176797417,0.2835054516369521,False,0.32529189814625464,0.02010417047080567,0.008158142188505002,0.028278212525087675,0.03780180268614696,0.028278212525087675,0.7652670661672617,-2.8,0.4,7,0.29,0.02,0.8,0.7,0.55,0.46,0.33,0.26,0.2,0.21,0.2,0.2,0.11,0.1,0.06,0.05,0.04,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1825-0319,True,bbb+13,27.045,4.138,0.0045535279197336,7.079e-21,119.5584,0.0006,58881.348534000004,179.91515466945077,0.20526614489486555,False,0.18946420983455686,0.020228595364000262,0.3507437127306315,0.037346670583899726,0.32540514693441897,0.037346670583899726,1.865747136401935,-1.47,0.05,36,0.183,0.002,0.308,0.28800000000000003,0.253,0.223,0.19899999999999998,0.18100000000000002,0.16,0.141,0.009000000000000001,0.006999999999999999,0.006,0.005,0.005,0.005,0.004,0.004,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1826-2415,False,bsb+19,8.552999999999999,-5.718,0.0046957571306167,1.736e-20,81.8625,0.0011,59096.775285,57.780984482136574,1.1934989636889215,True,0.1230639082452556,0.02062668341872055,0.010709805450710885,0.05187148868914506,0.020137693144970558,0.05187148868914506,4.26063538425486,-1.4,0.2,7,0.49,0.02,0.86,0.74,0.65,0.59,0.52,0.47,0.46,0.39,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1828+0625,False,rap+12,36.069,8.014,0.0036275625575588,4.694e-21,22.4331,0.0012,59093.743296,20.46901547765195,3.826707089169143,True,0.10504167948222498,0.02049289657311389,-0.07995137470852269,0.04503596764122088,0.04985505746597841,0.04503596764122088,1.742145212412354,-2.6,0.3,8,0.32,0.03,0.86,0.66,0.7,0.49,0.44,0.27,0.17,0.25,0.07,0.07,0.3,0.08,0.1,0.06,0.04,0.07,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1829+2456,False,clm+04,53.343,15.612,0.041009823581169995,5.25e-20,13.7,0.005,59057.929543,0.25135714285714283,0.5821438850122389,True,0.6755015551795919,0.022929727188339803,0.00772185067613533,0.09380592077488137,0.0011276299374620466,0.09380592077488137,17.000439469448217,-3.5,0.6,6,0.037,0.004,0.16,0.08,0.08,0.07,0.027000000000000003,0.038,0.03,0.016,0.08,0.03,0.02,0.02,0.008,0.011000000000000001,0.005,0.006,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1832-0836,True,bbb+13,23.109,0.257,0.00271911206325584,8.276299999999999e-21,28.190859999999997,0.00011,58948.191703,41.6866205418373,0.7769709748625164,False,0.26668332187289584,0.02013848327936185,-0.008541791394590308,0.03928974467112164,0.0616797927730965,0.03928974467112164,0.3288479561472053,-1.9,0.2,16,0.92,0.04,1.89,1.53,1.35,1.24,1.4,1.1,0.74,0.53,0.14,0.13,0.09,0.12,0.2,0.2,0.08,0.07,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1835-0114,False,ekl09,29.99,3.0069999999999997,0.0051163877246933,8.382e-21,98.25299999999999,0.003,58849.286695,115.46111398011793,0.6319995380624204,False,0.254903931721178,0.021030280102135302,-0.2143803359524438,0.07270668986186188,0.1617589967423627,0.07270668986186188,5.335123115431276,-1.27,0.09,6,0.373,0.008,0.59,0.53,0.52,0.48,0.42,0.36,0.332,0.27,0.02,0.02,0.03,0.03,0.03,0.02,0.012,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1843-1113,True,hfs+04,22.055,-3.397,0.001845666323214,9.544600000000001e-21,59.957969999999996,0.00013000000000000002,58727.95073,8.908644870189669,0.12054980258041725,False,0.34124070095410536,0.02013980659497688,0.006708148818951282,0.030336490207856243,0.007985152674620941,0.030336490207856243,0.3649073391304865,-1.7,0.2,37,0.56,0.02,1.1,0.92,0.78,0.68,0.6,0.53,0.48,0.48,0.08,0.06,0.05,0.05,0.04,0.05,0.05,0.08,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1843-1448,True,fsk+04,18.782,-4.871,0.0054713308755095,6.21e-21,114.544,0.0009,58855.327036,255.5945566959361,5.7016242240540524,True,0.0634976135806285,0.02045421949986417,0.01445209133247276,0.043895766851055854,0.010744722218847228,0.043895766851055854,4.59699803318266,-1.83,0.05,6,0.486,0.006,0.93,0.853,0.73,0.622,0.55,0.46,0.40299999999999997,0.359,0.02,0.013999999999999999,0.02,0.012,0.02,0.02,0.011000000000000001,0.012,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1844+0115,False,csl+12,33.283,2.079,0.004185543936664,1.0700000000000002e-20,148.25,0.005,58963.02359,30.149827822368746,2.1135628011907426,True,0.16241899081485905,0.02539633177757489,0.00384579949619379,0.15132954602343815,0.005304304342815346,0.15132954602343815,10.380486000814493,-1.88,0.14,8,0.094,0.003,0.183,0.16699999999999998,0.14800000000000002,0.115,0.10800000000000001,0.086,0.079,0.064,0.011000000000000001,0.011000000000000001,0.006,0.006,0.005,0.006,0.006999999999999999,0.006999999999999999,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1850+0124,False,csl+12,34.025,0.9590000000000001,0.003559763768043,1.09e-20,118.88,0.02,59089.690901,-68.90773197194602,1.9240277473405718,False,0.3464214662548951,0.02345989421041414,0.15126721091020448,0.15063513182989868,0.060041066382350176,0.15063513182989868,1.7939067617272981,-1.79,0.06,7,0.188,0.003,0.38,0.324,0.28,0.214,0.2,0.179,0.136,0.157,0.02,0.006,0.02,0.013000000000000001,0.011000000000000001,0.01,0.005,0.004,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1853+1303,False,fsk+04,44.875,5.367000000000001,0.004091797383378764,8.7161e-21,30.5709,0.0004,59059.88241699999,77.49013961340279,0.2474081597132796,False,0.251454229811632,0.02017001105111817,0.03568066311761862,0.032981469748857656,0.1566693201144827,0.032981469748857656,0.6738716450233976,-3.3,0.3,7,0.5,0.04,2.0,1.28,0.9,0.79,0.67,0.44,0.5,0.7,0.2,0.13,0.14,0.14,0.13,0.04,0.2,0.3,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1855-1436,False,san16,20.359,-7.57,0.003594091653371,1.09e-20,109.208,0.009,59000.149436,136.5693607341409,29.01192980619976,False,0.2738454398948221,0.026145784484733328,0.02144651353179504,0.1765375244945288,0.008409560092012843,0.1765375244945288,2.446519379972629,-2.95,0.14,7,0.046,0.002,0.146,0.10400000000000001,0.085,0.076,0.051,0.042,0.03,0.034,0.006,0.008,0.006,0.005,0.006999999999999999,0.003,0.003,0.004,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1857+0943,False,srs+86,42.29,3.06,0.005362100549682627,1.784e-20,13.2992,0.0002,59093.74015,23.35857971324418,0.05174328705351091,False,0.14116617108755822,0.020009661652858373,-0.002262459372714594,0.021129782407387374,0.036403402836718494,0.021129782407387374,0.3002491668875785,-2.4,0.4,7,5.0,0.5,12.0,13.0,10.0,5.5,5.6,4.3,4.0,3.6,2.0,3.0,2.0,1.1,1.2,1.1,2.0,0.8,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1858-2216,False,san16,13.581,-11.392999999999999,0.002384012901237,3.81e-21,26.641,0.005,59233.237268,-11.626720600372927,1.2419762762951632,False,0.37096149546838736,0.025319566270624125,-0.04931521776696785,0.16589317239133985,0.022728266114749315,0.16589317239133985,7.905202292410598,-2.1,0.4,6,0.057,0.007,0.12,0.11,0.12,0.04,0.08,0.07,0.05,0.033,0.02,0.02,0.03,0.02,0.04,0.03,0.02,0.009000000000000001,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
